监听点及其距离:
监听点 = [147.63002  146.295609  28.179783], 距离 = 0.8531060058632949
监听点 = [202.566589  96.756714  20.903631], 距离 = 1.0052789825048531
监听点 = [147.693924 200.853714  35.144722], 距离 = 1.3799868351697993
监听点 = [152.560562  91.838188  20.415512], 距离 = 1.6060046008168842
监听点 = [202.628464 146.283981  27.767153], 距离 = 1.6628052380985598
监听点 = [97.560936 91.871765 20.663771], 距离 = 1.8995265543750652
监听点 = [ 97.625031 141.357224  27.840433], 距离 = 2.3145957275241296
监听点 = [202.696701 205.830093  35.154163], 距离 = 2.3326225554600515
监听点 = [ 97.690262 195.890518  34.991089], 距离 = 3.0027705808937766
点A[44] = [242.509476  52.179592  14.382399], 最小距离 = 0.8425891482947041, 对应点B = [242.87735   51.421764  14.364457]
点A[45] = [237.509445  52.183868  14.3958  ], 最小距离 = 1.1068770243193162, 对应点B = [236.769684  52.986309  14.580242]
点A[46] = [232.509399  52.188152  14.409151], 最小距离 = 1.8705670306527369, 对应点B = [232.920349  50.37632   14.191422]
点A[47] = [227.509369  52.192444  14.422445], 最小距离 = 1.582996664529007, 对应点B = [225.973938  52.567699  14.509127]
点A[48] = [222.509338  52.196743  14.435679], 最小距离 = 3.4851766271797375, 对应点B = [225.973938  52.567699  14.509127]
点A[49] = [217.509308  52.20105   14.448852], 最小距离 = 1.4812710873294086, 对应点B = [216.205078  52.897243  14.540849]
点A[50] = [212.509277  52.205364  14.461962], 最小距离 = 3.760832984992941, 对应点B = [216.205078  52.897243  14.540849]
点A[51] = [207.509247  52.20969   14.475013], 最小距离 = 0.5157603116002427, 对应点B = [207.007156  52.09182   14.479484]
点A[52] = [202.509216  52.21402   14.488008], 最小距离 = 1.5648731393601718, 对应点B = [203.216187  50.836319  14.262265]
点A[53] = [197.509171  52.218357  14.500954], 最小距离 = 1.1233652909156528, 对应点B = [196.774155  53.04509   14.696437]
点A[54] = [192.50914   52.222702  14.513859], 最小距离 = 0.6008977442610354, 对应点B = [192.480988  52.817375  14.595404]
点A[55] = [187.509109  52.227047  14.526735], 最小距离 = 3.088887642278526, 对应点B = [188.354584  55.165211  14.966725]
点A[56] = [182.509079  52.231396  14.539596], 最小距离 = 2.3684147158107796, 对应点B = [180.632767  53.66959   14.682563]
点A[57] = [177.509033  52.235748  14.552456], 最小距离 = 0.8337345577538313, 对应点B = [176.949677  52.853977  14.55766 ]
点A[58] = [172.509003  52.240093  14.565333], 最小距离 = 0.7029139324298375, 对应点B = [173.197601  52.347649  14.473941]
点A[59] = [167.508972  52.244434  14.578248], 最小距离 = 1.8620683751057614, 对应点B = [166.7173    50.593475  14.239296]
点A[60] = [162.508942  52.248768  14.591224], 最小距离 = 1.975054038140228, 对应点B = [163.829849  53.699635  14.817118]
点A[61] = [157.508911  52.253094  14.604285], 最小距离 = 1.1544623525611515, 对应点B = [156.675659  53.050793  14.650661]
点A[62] = [152.508865  52.257401  14.617459], 最小距离 = 1.210981182786099, 对应点B = [153.232834  51.315002  14.384589]
点A[63] = [147.508835  52.261688  14.630777], 最小距离 = 3.5325890155128317, 对应点B = [149.54007   55.132599  14.964153]
点A[64] = [142.508804  52.265953  14.644272], 最小距离 = 2.0240009855341037, 对应点B = [140.780487  51.252598  14.356849]
点A[65] = [137.508789  52.270187  14.657978], 最小距离 = 1.194290069079121, 对应点B = [136.32576   52.192951  14.513736]
点A[66] = [132.508759  52.274391  14.671933], 最小距离 = 1.1195213957803425, 对应点B = [131.45993   52.659328  14.600453]
点A[67] = [127.508728  52.278557  14.686179], 最小距离 = 2.826968467744382, 对应点B = [127.059502  55.05619   14.959495]
点A[68] = [122.508705  52.282677  14.70076 ], 最小距离 = 1.757663182238571, 对应点B = [120.991005  53.167236  14.641414]
点A[69] = [117.50869   52.286743  14.71572 ], 最小距离 = 1.1099111035884868, 对应点B = [116.438042  52.549221  14.586411]
点A[70] = [112.508675  52.290756  14.731109], 最小距离 = 1.0883786631784031, 对应点B = [113.181084  51.507847  14.385439]
点A[71] = [107.508659  52.294704  14.74698 ], 最小距离 = 1.756698262875562, 对应点B = [108.943192  51.367805  14.33593 ]
点A[72] = [102.508652  52.29858   14.763386], 最小距离 = 1.323488458312347, 对应点B = [103.026634  53.511509  14.653297]
点A[73] = [97.508644 52.302376 14.780386], 最小距离 = 1.204062240905344, 对应点B = [98.484177 52.98687  14.608429]
点A[74] = [92.508644 52.306084 14.798039], 最小距离 = 1.0859135327299334, 对应点B = [93.202049 53.135063 14.692249]
点A[75] = [87.508652 52.309696 14.816411], 最小距离 = 1.6547120856662698, 对应点B = [88.454552 53.665829 14.75123 ]
点A[76] = [82.508659 52.313206 14.835567], 最小距离 = 0.8572229480187806, 对应点B = [82.842346 53.080902 14.650832]
点A[77] = [77.508675 52.316601 14.855576], 最小距离 = 1.1475368881256023, 对应点B = [76.836983 51.510014 14.3918  ]
点A[78] = [72.508698 52.31987  14.876512], 最小距离 = 0.7762301460939286, 对应点B = [73.040291 52.819836 14.611982]
点A[79] = [67.508728 52.323009 14.89845 ], 最小距离 = 3.510115211041367, 对应点B = [65.253532 55.011841 14.970438]
点A[80] = [62.508766 52.326    14.92147 ], 最小距离 = 0.8407634650120076, 对应点B = [62.572887 51.639797 14.439913]
点A[81] = [57.508812 52.328838 14.945654], 最小距离 = 1.0102294240676248, 对应点B = [56.655888 52.712578 14.56378 ]
点A[82] = [52.508865 52.331509 14.971087], 最小距离 = 1.1760400116666987, 对应点B = [53.145821 53.285065 14.71015 ]
点A[83] = [47.50893  52.334    14.997859], 最小距离 = 3.3248693777619276, 对应点B = [45.382813 54.889519 15.058732]
点A[84] = [252.515762  57.122776  15.049331], 最小距离 = 1.9154097889000217, 对应点B = [251.500275  55.50201   14.945898]
点A[85] = [247.515747  57.126949  15.063519], 最小距离 = 0.4373064584693542, 对应点B = [247.146042  57.021862  15.272114]
点A[86] = [242.515717  57.131119  15.07773 ], 最小距离 = 0.8520165452507261, 对应点B = [241.676117  57.03656   15.18756 ]
点A[87] = [237.515701  57.135284  15.091948], 最小距离 = 1.8017694587488196, 对应点B = [236.913773  58.789024  15.478212]
点A[88] = [232.515671  57.139454  15.10616 ], 最小距离 = 1.8573127576810922, 对应点B = [230.668549  57.082119  15.291804]
点A[89] = [227.51564   57.143623  15.120358], 最小距离 = 3.1581658656905818, 对应点B = [230.668549  57.082119  15.291804]
点A[90] = [222.515625  57.1478    15.134532], 最小距离 = 1.254447751612232, 对应点B = [223.51268   57.88707   15.316192]
点A[91] = [217.515594  57.151978  15.148678], 最小距离 = 0.6330594209053376, 对应点B = [216.982239  56.813362  15.189124]
点A[92] = [212.515564  57.156158  15.162789], 最小距离 = 4.2749003030403, 对应点B = [208.768707  59.177872  15.548156]
点A[93] = [207.515549  57.160347  15.176867], 最小距离 = 2.4038859415766862, 对应点B = [208.768707  59.177872  15.548156]
点A[94] = [202.515518  57.164536  15.190909], 最小距离 = 0.6125515663027797, 对应点B = [201.906342  57.191334  15.249269]
点A[95] = [197.515488  57.168732  15.204921], 最小距离 = 4.220492144206522, 对应点B = [196.774155  53.04509   14.696437]
点A[96] = [192.515457  57.172932  15.218904], 最小距离 = 4.400092856089521, 对应点B = [192.480988  52.817375  14.595404]
点A[97] = [187.515442  57.177132  15.232869], 最小距离 = 2.1960915361480207, 对应点B = [188.354584  55.165211  14.966725]
点A[98] = [182.515411  57.181335  15.246823], 最小距离 = 1.492439928119729, 对应点B = [183.553772  58.239326  15.419561]
点A[99] = [177.515381  57.185539  15.260779], 最小距离 = 1.383521407170497, 对应点B = [178.879288  57.416168  15.287226]
点A[100] = [172.51535   57.189739  15.274753], 最小距离 = 1.048032413000657, 对应点B = [173.018692  56.280369  15.140347]
点A[101] = [167.515335  57.193935  15.288757], 最小距离 = 1.1803139943307466, 对应点B = [168.69545   57.215603  15.289215]
点A[102] = [162.515305  57.198124  15.302815], 最小距离 = 0.4711484413186571, 对应点B = [162.960663  57.048897  15.265823]
点A[103] = [157.515274  57.202305  15.316947], 最小距离 = 1.639476688271297, 对应点B = [156.713745  58.619343  15.510437]
点A[104] = [152.515259  57.20647   15.331177], 最小距离 = 1.1204524854615674, 对应点B = [152.944412  58.237198  15.425205]
点A[105] = [147.515228  57.210621  15.345531], 最小距离 = 2.033590298567047, 对应点B = [146.180405  55.703522  15.058495]
点A[106] = [142.515213  57.214748  15.360042], 最小距离 = 2.0462963275325103, 对应点B = [143.338623  59.069485  15.623244]
点A[107] = [137.515182  57.218853  15.374739], 最小距离 = 4.691239847103638, 对应点B = [137.06485   61.840576  16.041529]
点A[108] = [132.515167  57.222927  15.389658], 最小距离 = 1.2154805279925112, 对应点B = [131.30304   57.226265  15.299492]
点A[109] = [127.515144  57.226967  15.404837], 最小距离 = 2.26234655012379, 对应点B = [127.059502  55.05619   14.959495]
点A[110] = [122.515129  57.230968  15.420316], 最小距离 = 2.32773968265633, 对应点B = [120.736725  58.728794  15.530627]
点A[111] = [117.515121  57.234921  15.436138], 最小距离 = 1.5651048602854005, 对应点B = [117.209709  58.767284  15.526362]
点A[112] = [112.515106  57.238823  15.45235 ], 最小距离 = 0.6985399792538721, 对应点B = [113.20224   57.233715  15.326736]
点A[113] = [107.515099  57.242664  15.469001], 最小距离 = 2.8797104599929875, 对应点B = [105.729591  55.043884  14.949328]
点A[114] = [102.515099  57.246445  15.486142], 最小距离 = 0.5424704509906436, 对应点B = [102.634712  57.76049   15.360744]
点A[115] = [97.515099 57.250149 15.503828], 最小距离 = 1.2140321452663407, 对应点B = [98.462265 58.004871 15.419298]
点A[116] = [92.515099 57.253773 15.522119], 最小距离 = 1.741636057757762, 对应点B = [91.623604 58.748177 15.594848]
点A[117] = [87.515106 57.257309 15.541073], 最小距离 = 1.4698352613912191, 对应点B = [86.762016 58.518829 15.498196]
点A[118] = [82.515121 57.260746 15.560755], 最小距离 = 4.155322943446518, 对应点B = [83.28759  61.32719  15.926861]
点A[119] = [77.515144 57.26408  15.581233], 最小距离 = 4.370904135157854, 对应点B = [73.157684 57.172592 15.251119]
点A[120] = [72.515167 57.267296 15.602577], 最小距离 = 0.7384576282150508, 对应点B = [73.157684 57.172592 15.251119]
点A[121] = [67.515198 57.270386 15.62486 ], 最小距离 = 2.4092923909372232, 对应点B = [69.651962 56.26276  15.151976]
点A[122] = [62.51524  57.273342 15.648159], 最小距离 = 2.1901500552685893, 对应点B = [60.949551 58.802818 15.570195]
点A[123] = [57.515285 57.27615  15.672553], 最小距离 = 0.9537812177003699, 对应点B = [56.858871 56.724171 15.255254]
点A[124] = [52.515343 57.278801 15.698127], 最小距离 = 1.209424270144269, 对应点B = [53.166748 58.273991 15.479094]
点A[125] = [47.515408 57.281284 15.724966], 最小距离 = 1.411761848672082, 对应点B = [46.804897 58.490765 15.565588]
点A[126] = [252.522049  62.073856  15.748003], 最小距离 = 2.023371770610861, 对应点B = [254.535767  61.892231  15.825369]
点A[127] = [247.522018  62.07793   15.762947], 最小距离 = 2.0046426320883213, 对应点B = [248.044937  63.95937   16.216082]
点A[128] = [242.522003  62.081989  15.777967], 最小距离 = 1.6683622232336088, 对应点B = [242.805328  63.665901  16.218855]
点A[129] = [237.521988  62.086044  15.793043], 最小距离 = 1.5390330376288117, 对应点B = [236.753204  63.367973  16.159447]
点A[130] = [232.521973  62.090092  15.80816 ], 最小距离 = 1.5288140420616902, 对应点B = [232.813293  63.546494  16.170511]
点A[131] = [227.521957  62.094135  15.823301], 最小距离 = 0.6138817266558699, 对应点B = [227.332932  62.647999  16.008652]
点A[132] = [222.521927  62.098179  15.838457], 最小距离 = 1.6317773833440055, 对应点B = [221.950699  63.587582  16.182077]
点A[133] = [217.521912  62.102222  15.853616], 最小距离 = 0.7308565921129732, 对应点B = [216.815857  62.240421  15.982219]
点A[134] = [212.521896  62.106262  15.86877 ], 最小距离 = 0.9790842021736408, 对应点B = [213.133163  62.842346  16.076469]
点A[135] = [207.521881  62.11031   15.883912], 最小距离 = 0.5203954588012857, 对应点B = [207.786255  62.515671  16.075224]
点A[136] = [202.521866  62.114353  15.899041], 最小距离 = 0.874924187281962, 对应点B = [202.246323  62.920284  16.09915 ]
点A[137] = [197.521835  62.118404  15.914156], 最小距离 = 4.436656729453624, 对应点B = [193.203476  63.094727  16.20137 ]
点A[138] = [192.52182   62.122452  15.929255], 最小距离 = 1.2182036575162623, 对应点B = [193.203476  63.094727  16.20137 ]
点A[139] = [187.521805  62.126503  15.944345], 最小距离 = 2.272676564686011, 对应点B = [185.550827  63.225845  16.21221 ]
点A[140] = [182.52179   62.130558  15.959429], 最小距离 = 3.2308848623401802, 对应点B = [185.550827  63.225845  16.21221 ]
点A[141] = [177.521759  62.134609  15.974516], 最小距离 = 2.029548660511993, 对应点B = [178.863907  63.624908  16.285507]
点A[142] = [172.521744  62.13866   15.989618], 最小距离 = 1.4190230806050934, 对应点B = [173.337967  63.268185  16.257162]
点A[143] = [167.521729  62.142704  16.004747], 最小距离 = 1.8121958464307972, 对应点B = [168.802231  63.404133  16.235323]
点A[144] = [162.521713  62.146744  16.01992 ], 最小距离 = 1.434026907890504, 对应点B = [163.015701  63.457615  16.326557]
点A[145] = [157.521698  62.150776  16.035154], 最小距离 = 1.9982866233278396, 对应点B = [156.220047  63.647537  16.277147]
点A[146] = [152.521683  62.1548    16.050472], 最小距离 = 1.2294878837227299, 对应点B = [153.243179  63.134693  16.226238]
点A[147] = [147.521652  62.158806  16.065895], 最小距离 = 1.6891256456433499, 对应点B = [149.033081  62.904179  16.180555]
点A[148] = [142.521637  62.162796  16.081451], 最小距离 = 1.3502277789002772, 对应点B = [141.454056  62.983368  16.181688]
点A[149] = [137.521637  62.166763  16.09717 ], 最小距离 = 0.5640463130089539, 对应点B = [137.06485   61.840576  16.041529]
点A[150] = [132.521622  62.170704  16.113081], 最小距离 = 1.7311904039853618, 对应点B = [133.197739  60.601353  15.83555 ]
点A[151] = [127.521606  62.174614  16.129221], 最小距离 = 1.056404080789639, 对应点B = [127.267303  61.169258  15.927779]
点A[152] = [122.521599  62.178493  16.145628], 最小距离 = 1.1500464673312063, 对应点B = [122.004135  63.201202  16.23999 ]
点A[153] = [117.521591  62.182327  16.16234 ], 最小距离 = 1.3504132338576997, 对应点B = [118.518066  63.088959  16.255463]
点A[154] = [112.521584  62.186115  16.179401], 最小距离 = 1.0624997423006726, 对应点B = [113.055527  63.102921  16.236649]
点A[155] = [107.521584  62.18985   16.196857], 最小距离 = 1.4354973191998708, 对应点B = [106.697823  63.361172  16.297232]
点A[156] = [102.521584  62.193527  16.214758], 最小距离 = 0.7796781476199095, 对应点B = [101.79364   62.017979  15.997552]
点A[157] = [97.521591 62.197136 16.233156], 最小距离 = 0.5114763874686689, 对应点B = [97.087395 61.955235 16.112467]
点A[158] = [92.521599 62.200672 16.252108], 最小距离 = 0.8353783085105878, 对应点B = [93.072304 62.825539 16.187904]
点A[159] = [87.521614 62.204128 16.271667], 最小距离 = 1.6467695687599997, 对应点B = [88.664307 63.38192  16.409176]
点A[160] = [82.521629 62.207493 16.291901], 最小距离 = 1.2226544184396424, 对应点B = [83.28759  61.32719  15.926861]
点A[161] = [77.521652 62.210758 16.312868], 最小距离 = 1.1762758172172034, 对应点B = [76.794785 63.131718 16.228477]
点A[162] = [72.521683 62.213917 16.334642], 最小距离 = 0.6884371746274291, 对应点B = [72.407364 62.882629 16.21759 ]
点A[163] = [67.521713 62.216961 16.35729 ], 最小距离 = 1.5230992363299911, 对应点B = [67.736923 60.777756 15.907618]
点A[164] = [62.521755 62.219875 16.380888], 最小距离 = 1.7011822613741248, 对应点B = [61.664154 63.687557 16.314171]
点A[165] = [57.521805 62.222652 16.405514], 最小距离 = 4.3946951476154785, 对应点B = [61.664154 63.687557 16.314171]
点A[166] = [52.521862 62.225285 16.431246], 最小距离 = 4.115239441215539, 对应点B = [53.166748 58.273991 15.479094]
点A[167] = [47.521927 62.227757 16.458172], 最小距离 = 1.5089873191799907, 对应点B = [48.158066 63.593552 16.374662]
点A[168] = [252.528351  67.024467  16.450233], 最小距离 = 1.0838804414994343, 对应点B = [253.483658  67.468147  16.705837]
点A[169] = [247.528336  67.028427  16.465977], 最小距离 = 3.122248384333791, 对应点B = [248.044937  63.95937   16.216082]
点A[170] = [242.52832   67.032379  16.481846], 最小距离 = 2.5768786876413086, 对应点B = [243.310608  69.414955  17.074856]
点A[171] = [237.528305  67.036308  16.497822], 最小距离 = 0.4579559547674833, 对应点B = [237.347122  66.634575  16.622349]
点A[172] = [232.52829   67.04023   16.513882], 最小距离 = 1.520414894340686, 对应点B = [231.017776  66.936806  16.652851]
点A[173] = [227.52829   67.044144  16.530006], 最小距离 = 2.6783209193056035, 对应点B = [227.474365  69.662186  17.092457]
点A[174] = [222.528275  67.04805   16.546183], 最小距离 = 1.5168248733265128, 对应点B = [223.159988  68.383728  16.8892  ]
点A[175] = [217.528259  67.051956  16.562391], 最小距离 = 1.9290409152884687, 对应点B = [217.076767  68.882324  16.971178]
点A[176] = [212.528244  67.055855  16.578625], 最小距离 = 1.1930156129217302, 对应点B = [213.709213  67.13076   16.730242]
点A[177] = [207.528244  67.059746  16.594872], 最小距离 = 2.3586186845354993, 对应点B = [208.43454   69.203278  16.978252]
点A[178] = [202.528229  67.063644  16.611124], 最小距离 = 1.8035244888664514, 对应点B = [203.14299   68.707932  17.02475 ]
点A[179] = [197.528214  67.067543  16.627377], 最小距离 = 1.972841952958469, 对应点B = [196.707321  68.817795  17.020897]
点A[180] = [192.528214  67.071442  16.643627], 最小距离 = 1.391751414493968, 对应点B = [191.168991  66.775681  16.688463]
点A[181] = [187.528198  67.075333  16.659874], 最小距离 = 0.621379283205522, 对应点B = [187.127579  66.605453  16.729368]
点A[182] = [182.528183  67.079231  16.676123], 最小距离 = 1.8256033267857106, 对应点B = [180.713516  67.22216   16.815344]
点A[183] = [177.528183  67.08313   16.692375], 最小距离 = 1.1488484018233263, 对应点B = [177.465485  68.205742  16.928307]
点A[184] = [172.528168  67.087021  16.708639], 最小距离 = 1.720569370138282, 对应点B = [173.429031  68.526421  16.986006]
点A[185] = [167.528152  67.090912  16.724926], 最小距离 = 0.38734010585142453, 对应点B = [167.868912  66.910088  16.759821]
点A[186] = [162.528152  67.094803  16.741245], 最小距离 = 3.6930755085821105, 对应点B = [163.015701  63.457615  16.326557]
点A[187] = [157.528137  67.098686  16.757612], 最小距离 = 2.2308246839698054, 对应点B = [156.832657  69.194061  17.07744 ]
点A[188] = [152.528122  67.102554  16.774048], 最小距离 = 2.03175659749907, 对应点B = [151.471985  68.806328  17.105354]
点A[189] = [147.528122  67.106415  16.790569], 最小距离 = 2.096246605008816, 对应点B = [147.015839  69.110626  17.129618]
点A[190] = [142.528107  67.11026   16.807199], 最小距离 = 2.831148788401098, 对应点B = [142.919449  69.874634  17.276764]
点A[191] = [137.528107  67.11409   16.823967], 最小距离 = 1.1888298885395725, 对应点B = [138.715256  67.072418  16.871477]
点A[192] = [132.528091  67.117897  16.840899], 最小距离 = 2.072572542261676, 对应点B = [134.503357  67.735031  16.955034]
点A[193] = [127.528091  67.121674  16.858027], 最小距离 = 1.7352991976443113, 对应点B = [127.437843  68.832939  17.131323]
点A[194] = [122.528091  67.12542   16.875385], 最小距离 = 1.4657720840802575, 对应点B = [122.147217  68.521812  17.106712]
点A[195] = [117.528091  67.129135  16.893013], 最小距离 = 3.1226043732938793, 对应点B = [114.412354  66.935539  16.81979 ]
点A[196] = [112.528091  67.132805  16.910948], 最小距离 = 1.8967526746755787, 对应点B = [114.412354  66.935539  16.81979 ]
点A[197] = [107.528099  67.136429  16.929235], 最小距离 = 1.7250317773591823, 对应点B = [106.701942  68.633926  17.154406]
点A[198] = [102.528107  67.139999  16.94792 ], 最小距离 = 3.961920165853037, 对应点B = [102.908981  71.048508  17.472614]
点A[199] = [97.528114 67.143517 16.967052], 最小距离 = 0.4558988417094337, 对应点B = [97.502754 66.720253 16.799576]
点A[200] = [92.52813  67.146957 16.986685], 最小距离 = 0.8939750390279414, 对应点B = [92.21817  66.33107  16.793179]
点A[201] = [87.528145 67.15033  17.006874], 最小距离 = 1.6626899104156527, 对应点B = [86.78862  68.636032 17.108511]
点A[202] = [82.528168 67.153618 17.027678], 最小距离 = 1.9924408457419804, 对应点B = [82.863159 69.111458 17.184088]
点A[203] = [77.528191 67.156815 17.049158], 最小距离 = 1.175184435141142, 对应点B = [76.807365 68.084656 17.025087]
点A[204] = [72.528229 67.159912 17.071381], 最小距离 = 4.027953580894024, 对应点B = [68.510757 66.920715 16.906719]
点A[205] = [67.528259 67.162903 17.094414], 最小距离 = 1.0291679942424294, 对应点B = [68.510757 66.920715 16.906719]
点A[206] = [62.528309 67.165779 17.118328], 最小距离 = 0.7300378088599268, 对应点B = [62.513737 66.516464 16.784962]
